dispatch,xopt_pv,xopt_wind,xopt_sto,xopt_elyz,xopt_fc,xopt_hyTank,lcoe_opt,shed_max,algo,srand,ret,numevals,time,shed_rate_opt,capex,om,replacement,opex,fc_hours,elyz_hours,fc_starts,elyz_starts,batt_cycles,h2_consumed,ini_h2_level,ini_bat_level,fc_energy,batt_energy
1,4.001076852094899,1.8,5.488787623195936,0.8658288618349956,1.5367497044671454,16.270322138819452,0.33490435326031637,0.0,CRS2,1,XTOL_REACHED,16719,17.65000009536743,0.0,2.343773280702287e7,6.867146354016219e6,2.0456873030777383e6,8.912833657093957e6,1200.0,3583.0,125.0,233.0,161.90235763418204,42948.8614141959,0.014003457493264341,0.0,687181.7826271344,844215.2739113034
1,4.001076852094899,1.8,5.488787623195936,0.8658288618349956,1.5367497044671454,16.270322138819452,0.33490435326031637,0.0,CRS2,1,XTOL_REACHED,16719,16.94700002670288,0.0,2.343773280702287e7,6.867146354016219e6,2.0456873030777383e6,8.912833657093957e6,1200.0,3583.0,125.0,233.0,161.90235763418204,42948.8614141959,0.014003457493264341,0.0,687181.7826271344,844215.2739113034
2,6.680863762725515,1.7999999918112917,0.2623663271104856,1.9012433401952464,1.4230985407961851,16.99993002586292,0.36288472605536615,0.0,CRS2,1,XTOL_REACHED,13607,13.875999927520752,0.0,2.55703243045519e7,7.497059571471536e6,1.8506834701655416e6,9.347743041637078e6,2897.0,4820.0,309.0,350.0,39.69729482252234,89869.83255114025,0.013254976696068472,0.1605858365218815,1.437917320818244e6,9894.471766866916
1,4.00092433003539,1.7999999991758067,5.492176004529627,0.8637857896946316,1.4350211209676385,16.237672557647226,0.3322941599668717,0.0001,CRS2,1,XTOL_REACHED,21561,21.136000156402588,9.999999550658945e-5,2.3299315083300963e7,6.799954227794156e6,1.9869844149582777e6,8.786938642752435e6,1198.0,3583.0,125.0,233.0,161.8407412539312,42883.27749914702,0.014031610373002901,0.0,686132.4399863523,844414.9438866226
2,6.649367332297217,1.7999999990378273,0.20194197609064254,1.9111784336702495,1.3884713516865541,16.988903106450913,0.3613005454152273,0.0001,CRS2,1,XTOL_REACHED,16030,15.45199990272522,9.999998866893095e-5,2.5469310350887664e7,7.46324314619012e6,1.8254108521689079e6,9.288653998359028e6,2910.0,4818.0,313.0,350.0,47.59089163887193,89921.98512437983,0.013384668814568491,0.0,1.4387517619900773e6,9130.068766395963
1,4.048537047113955,1.7999999998892886,5.382445192826027,0.8619100671544567,1.239142598437856,15.910196550695922,0.32597220622256784,0.001,CRS2,1,XTOL_REACHED,28156,27.161999940872192,0.000999999998054952,2.291817750726732e7,6.654053388956795e6,1.8551367810770203e6,8.509190170033816e6,1213.0,3588.0,129.0,237.0,163.67089704631,42821.26087984479,0.013705526015555816,0.0,685140.1740775167,836902.151361813
2,6.547204729155017,1.799999999930506,0.13664528743111626,1.9344602406656537,1.2399997855606453,16.803401357768127,0.3552978919349282,0.001,CRS2,1,XTOL_REACHED,38553,37.8199999332428,0.0009999999966458755,2.5064455623770807e7,7.33505806044441e6,1.7386672625470937e6,9.073725322991503e6,2947.0,4802.0,316.0,351.0,56.18651123555406,89794.77469990129,0.01298018041723472,0.0,1.4367163951984206e6,7293.7408786572305
1,4.001076852094899,1.8,5.488787623195936,0.8658288618349956,1.5367497044671454,16.270322138819452,0.38755535656377144,0.0,CRS2,1,XTOL_REACHED,16719,16.950999975204468,0.0,2.6907416487949654e7,6.867146354016219e6,3.8042012913595717e6,1.0671347645375792e7,1200.0,3583.0,125.0,233.0,161.90235763418204,42948.8614141959,0.014003457493264341,0.0,687181.7826271344,844215.2739113034
2,6.680863762725515,1.7999999918112917,0.2623663271104856,1.9012433401952464,1.4230985407961851,16.99993002586292,0.4553758713043697,0.0,CRS2,1,XTOL_REACHED,13607,13.865000009536743,0.0,3.065246608591886e7,7.497059571471536e6,6.089819517969507e6,1.3586879089441042e7,2897.0,4820.0,309.0,350.0,39.69729482252234,89869.83255114025,0.013254976696068472,0.1605858365218815,1.437917320818244e6,9894.471766866916
1,4.00092433003539,1.7999999991758067,5.492176004529627,0.8637857896946316,1.4350211209676385,16.237672557647226,0.38297939006394005,0.0001,CRS2,1,XTOL_REACHED,21561,22.122000217437744,9.999999550658945e-5,2.6633278383039765e7,6.799954227794156e6,3.680003301817271e6,1.0479957529611427e7,1198.0,3583.0,125.0,233.0,161.8407412539312,42883.27749914702,0.014031610373002901,0.0,686132.4399863523,844414.9438866226
2,6.649367332297217,1.7999999990378273,0.20194197609064254,1.9111784336702495,1.3884713516865541,16.988903106450913,0.4534720358237926,0.0001,CRS2,1,XTOL_REACHED,16030,16.681999921798706,9.999998866893095e-5,3.0523326445319608e7,7.46324314619012e6,6.05951195315958e6,1.35227550993497e7,2910.0,4818.0,313.0,350.0,47.59089163887193,89921.98512437983,0.013384668814568491,0.0,1.4387517619900773e6,9130.068766395963
1,4.048537047113955,1.7999999998892886,5.382445192826027,0.8619100671544567,1.239142598437856,15.910196550695922,0.37298060511248815,0.001,CRS2,1,XTOL_REACHED,28156,29.121000051498413,0.000999999998054952,2.5994309999399103e7,6.654053388956795e6,3.4246189181037983e6,1.0078672307060594e7,1213.0,3588.0,129.0,237.0,163.67089704631,42821.26087984479,0.013705526015555816,0.0,685140.1740775167,836902.151361813
