dispatch,xopt_pv,xopt_wind,xopt_sto,xopt_elyz,xopt_fc,xopt_hyTank,lcoe_opt,shed_max,algo,srand,ret,numevals,time,shed_rate_opt,capex,om,replacement,opex,fc_hours,elyz_hours,fc_starts,elyz_starts,batt_cycles,h2_consumed,ini_h2_level,ini_bat_level,fc_energy,batt_energy
1,4.001077452966442,1.7999999988768056,5.48877778454311,0.8658300072661209,1.536749703452179,16.27032496571021,0.35915593399323453,0.0,CRS2,6,XTOL_REACHED,20617,19.43400001525879,0.0,2.5004844954193685e7,6.867146004196654e6,2.8574297122381893e6,9.724575716434844e6,1200.0,3583.0,125.0,233.0,161.90249959608605,42948.908123066474,0.014003451846861045,0.0,687182.5299690636,844214.5008927471
2,6.680866886283831,1.799999987795664,0.26236915274913736,1.9012426713226849,1.4230981450286375,16.99992706138152,0.41364123579263035,0.0,CRS2,6,XTOL_REACHED,12227,11.641000032424927,0.0,2.823093292345477e7,7.497060011599097e6,4.291652299830761e6,1.1788712311429858e7,2897.0,4820.0,309.0,350.0,39.69681213394287,89869.82949648381,0.013254940543842988,0.16059012338351517,1.437917271943741e6,9894.458018103054
1,4.001077237486916,1.8,5.488777655336039,0.8658300898231002,1.5367497157505843,16.270325222490655,0.3591559343851876,0.0,CRS2,7,XTOL_REACHED,20877,20.039000034332275,0.0,2.500484493408194e7,6.867146000302713e6,2.857429771523862e6,9.724575771826576e6,1200.0,3583.0,125.0,233.0,161.90249975871427,42948.90986528088,0.014003449852899188,0.0,687182.5578444941,844214.4818677452
2,6.680863122138292,1.8,0.2623665266340819,1.9012434284227584,1.4230984844975374,16.99992975967856,0.41364121620807337,0.0,CRS2,7,XTOL_REACHED,14280,14.028000116348267,0.0,2.8230930634287573e7,7.497059434565725e6,4.291653374231219e6,1.1788712808796944e7,2897.0,4820.0,309.0,350.0,39.69733716222074,89869.8319894902,0.013254940850329806,0.1605858026261457,1.437917311831843e6,9894.48984448022
1,4.001077500781247,1.8,5.488780698199344,0.8658295786532675,1.536749701232719,16.270323875504,0.3591559336001939,0.0,CRS2,8,XTOL_REACHED,21551,21.16000008583069,0.0,2.5004844800503954e7,6.867146101240676e6,2.857429829473014e6,9.72457593071369e6,1200.0,3583.0,125.0,233.0,161.90245918999912,42948.893114517545,0.014003451276938032,0.0,687182.2898322807,844214.7383434204
2,6.680863538571479,1.7999999988046094,0.2623668253590329,1.9012433143187621,1.4230984334180994,16.999929332122413,0.41364121607138044,0.0,CRS2,8,XTOL_REACHED,14527,14.423999786376953,0.0,2.8230930753771227e7,7.497059465107287e6,4.291653196028878e6,1.1788712661136165e7,2897.0,4820.0,309.0,350.0,39.69730538072745,89869.83127961752,0.013254930534624475,0.1605861445630799,1.4379173004738803e6,9894.49318864704
1,4.001077446706139,1.799999999424051,5.488778556477188,0.865829920468997,1.5367497045691476,16.270324620783995,0.3591559341958817,0.0,CRS2,9,XTOL_REACHED,17774,17.810999870300293,0.0,2.5004844909117147e7,6.86714603943637e6,2.8574297678082734e6,9.724575807244644e6,1200.0,3583.0,125.0,233.0,161.90248874011883,42948.904239624455,0.01400345168231516,0.0,687182.4678339913,844214.5630152009
2,6.6808627966954335,1.8,0.26236654166404205,1.901243518940011,1.4230984823703574,16.999929712158938,0.4136412144150166,0.0,CRS2,9,XTOL_REACHED,11977,11.891999959945679,0.0,2.823093036358227e7,7.497059397053279e6,4.291653525200418e6,1.1788712922253698e7,2897.0,4820.0,309.0,350.0,39.6973514210337,89869.83215273445,0.013254927867723799,0.16058582517378217,1.4379173144437512e6,9894.49396528082
1,4.001077439375375,1.7999999990226325,5.4887789885816645,0.8658298539069925,1.536749702994608,16.270324518468296,0.3591559340977476,0.0,CRS2,10,XTOL_REACHED,18626,18.51800012588501,0.0,2.500484489003497e7,6.867146049660715e6,2.857429781637511e6,9.724575831298226e6,1200.0,3583.0,125.0,233.0,161.90248266609615,42948.902098388506,0.014003452031391299,0.0,687182.4335742161,844214.597804032
2,6.6808630991407885,1.7999999997426814,0.26236652243907366,1.901243434317486,1.4230984790884948,16.999929708361115,0.4136412155707327,0.0,CRS2,10,XTOL_REACHED,13636,13.822999954223633,0.0,2.823093057853175e7,7.4970594244612e6,4.291653379135368e6,1.1788712803596567e7,2897.0,4820.0,309.0,350.0,39.69734330880597,89869.8319414912,0.01325493707383592,0.16058572414757954,1.4379173110638591e6,9894.49121830138
